"Rendering engine","Engine version","Browser","Platform(s)","CSS grade"
"Gecko","1.7","Firefox 1.0","Win 98+ / OSX.2+","A"
"Gecko","1.8","Firefox 1.5","Win 98+ / OSX.2+","A"
"Gecko","1.8","Firefox 2.0","Win 98+ / OSX.2+","A"
"Gecko","1.9","Firefox 3.0","Win 2k+ / OSX.3+","A"
"Gecko","1.8","Camino 1.0","OSX.2+","A"
"Gecko","1.8","Camino 1.5","OSX.3+","A"
"Gecko","1.7","Netscape 7.2","Win 95+ / Mac OS 8.6-9.2","A"
"Gecko","1.7","Netscape Browser 8","Win 98SE+","A"
"Gecko","1.8","Netscape Navigator 9","Win 98+ / OSX.2+","A"
"Gecko","1","Mozilla 1.0","Win 95+ / OSX.1+","A"
"Gecko","1.1","Mozilla 1.1","Win 95+ / OSX.1+","A"
"Gecko","1.2","Mozilla 1.2","Win 95+ / OSX.1+","A"
"Gecko","1.3","Mozilla 1.3","Win 95+ / OSX.1+","A"
"Gecko","1.4","Mozilla 1.4","Win 95+ / OSX.1+","A"
"Gecko","1.5","Mozilla 1.5","Win 95+ / OSX.1+","A"
"Gecko","1.6","Mozilla 1.6","Win 95+ / OSX.1+","A"
"Gecko","1.7","Mozilla 1.7","Win 98+ / OSX.1+","A"
"Gecko","1.8","Mozilla 1.8","Win 98+ / OSX.1+","A"
"Gecko","1.8","Seamonkey 1.1","Win 98+ / OSX.2+","A"
"Gecko","1.8","Epiphany 2.20","Gnome","A"
"Presto","-","Opera 7.0","Win 95+ / OSX.1+","A"
"Presto","-","Opera 7.5","Win 95+ / OSX.2+","A"
"Presto","-","Opera 8.0","Win 95+ / OSX.2+","A"
"Presto","-","Opera 8.5","Win 95+ / OSX.2+","A"
"Presto","-","Opera 9.0","Win 95+ / OSX.3+","A"
"Presto","-","Opera 9.2","Win 88+ / OSX.3+","A"
"Presto","-","Opera 9.5","Win 88+ / OSX.3+","A"
"Presto","-","Opera for Wii","Wii","A"
"Presto","-","Nokia N800","N800","A"
"Presto","8.5","Nintendo DS browser","Nintendo DS","C/A                                                     1"
"Trident","4","Internet Explorer 4.0","Win 95+","X"
"Trident","5","Internet Explorer 5.0","Win 95+","C"
"Trident","5.5","Internet Explorer 5.5","Win 95+","A"
"Trident","6","Internet Explorer 6","Win 98+","A"
"Trident","7","Internet Explorer 7","Win XP SP2+","A"
"Trident","6","AOL browser (AOL desktop)","Win XP","A"
"Webkit","125.5","Safari 1.2","OSX.3","A"
"Webkit","312.8","Safari 1.3","OSX.3","A"
"Webkit","419.3","Safari 2.0","OSX.4+","A"
"Webkit","522.1","Safari 3.0","OSX.4+","A"
"Webkit","420","OmniWeb 5.5","OSX.4+","A"
"Webkit","420.1","iPod Touch / iPhone","iPod","A"
"Webkit","413","S60","S60","A"
